21.0, Private, 7th-8th,4, Machine-op-inspct, Own-child, White, Male,0.0,0,40, United-States, <=50K
28.0, Private, HS-grad,9, Other-service, Husband, White, Male,0.0,0,43, United-States, <=50K
23.0, Private, 7th-8th,4, Craft-repair, Not-in-family, White, Male,0.0,0,25, Germany, <=50K
24.0, Private, Some-college,10, Sales, Not-in-family, White, Male,0.0,0,49, United-States, <=50K
35.0, Private, HS-grad,9, Craft-repair, Own-child, White, Male,0.0,0,20, United-States, <=50K
40.0, Private, HS-grad,9, Other-service, Unmarried, Black, Female,0.0,0,40, United-States, <=50K
, Private, 11th,7, Sales, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
45.0, State-gov, Prof-school,15, Prof-specialty, Unmarried, White, Female,0.0,0,43, United-States, <=50K
28.0, Private, 9th,5, Protective-serv, Wife, Black, Female,0.0,0,40, United-States, <=50K
62.0, Private, Bachelors,13, Sales, Husband, White, Male,0.0,0,35, United-States, <=50K
51.0, Self-emp-not-inc, Some-college,10, Craft-repair, Husband, White, Male,0.0,0,55, United-States, <=50K
30.0, Private, Some-college,10, Machine-op-inspct, Not-in-family, White, Male,0.0,0,50, United-States, <=50K
17.0, Private, 11th,7, Other-service, Own-child, White, Male,0.0,0,25, United-States, <=50K
73.0, Self-emp-not-inc, Bachelors,13, Farming-fishing, Husband, White, Male,,0,30, United-States, <=50K
24.0, Private, Some-college,10, Adm-clerical, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
31.0, Private, HS-grad,9, Farming-fishing, Own-child, White, Female,0.0,0,40, United-States, <=50K
51.0, Self-emp-not-inc, Masters,14, Exec-managerial, Unmarried, White, Male,,0,50, United-States, >50K
62.0, Private, HS-grad,9, Sales, Husband, Asian-Pac-Islander, Male,0.0,0,40, Philippines, <=50K
25.0, Private, HS-grad,9, Sales, Husband, White, Male,0.0,0,40, United-States, <=50K
29.0,, Some-college,10,, Wife, White, Female,0.0,0,40, United-States, <=50K
28.0, Private, HS-grad,9, Exec-managerial, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
45.0, Private, HS-grad,9, Sales, Husband, White, Male,0.0,0,40, United-States, <=50K
46.0, Private, 10th,6, Craft-repair, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
61.0, Private, HS-grad,9, Adm-clerical, Not-in-family, White, Female,0.0,0,40, Canada, <=50K
43.0, Private, 5th-6th,3, Machine-op-inspct, Husband, Other, Male,0.0,0,40, Mexico, <=50K
23.0, State-gov, Bachelors,13, Prof-specialty, Not-in-family, White, Female,0.0,0,32, United-States, <=50K
50.0, Private, HS-grad,9, Sales, Unmarried, White, Female,0.0,0,65, United-States, <=50K
20.0, Private, HS-grad,9, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0.0,0,15, United-States, <=50K
75.0,, 5th-6th,3,, Husband, White, Male,0.0,0,25, United-States, <=50K
42.0, Self-emp-not-inc, Assoc-voc,11, Exec-managerial, Husband, White, Male,0.0,0,50, United-States, <=50K
39.0, Private, 7th-8th,4, Other-service, Own-child, White, Male,0.0,1602,35, United-States, <=50K
30.0, Local-gov, Assoc-voc,11, Protective-serv, Not-in-family, White, Male,0.0,0,40, United-States, <=50K
60.0, Private, 10th,6, Other-service, Not-in-family, Black, Female,0.0,0,40, United-States, <=50K
50.0, State-gov, HS-grad,9, Craft-repair, Husband, Black, Male,0.0,0,40, United-States, >50K
38.0, Private, HS-grad,9, Craft-repair, Husband, White, Male,0.0,0,40, United-States, <=50K
23.0, Private, 1st-4th,2, Machine-op-inspct, Wife, Amer-Indian-Eskimo, Female,0.0,0,35, Mexico, <=50K
67.0,, 5th-6th,3,, Husband, White, Male,0.0,0,40, United-States, <=50K
24.0, Local-gov, Bachelors,13, Prof-specialty, Own-child, White, Female,0.0,0,20, United-States, <=50K
67.0, Private, Masters,14, Sales, Husband, White, Male,0.0,0,30, United-States, >50K
47.0, Private, Assoc-acdm,12, Adm-clerical, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
37.0, Private, Assoc-voc,11, Craft-repair, Husband, White, Male,0.0,0,40, United-States, <=50K
36.0, Private, Masters,14, Prof-specialty, Not-in-family, White, Female,0.0,0,40, United-States, <=50K
26.0, Private, HS-grad,9, Other-service, Husband, White, Male,0.0,0,40, United-States, <=50K
41.0, Private, Bachelors,13, Exec-managerial, Husband, White, Male,0.0,1902,60, United-States, >50K
39.0, Private, HS-grad,9, Craft-repair, Own-child, White, Male,2174.0,0,40, United-States, <=50K
34.0, Private, Some-college,10, Craft-repair, Husband, White, Male,0.0,0,45, United-States, <=50K
50.0, Private, Prof-school,15, Prof-specialty, Husband, White, Male,0.0,0,60, United-States, >50K
